(01/07/2017,List((0.002893,0.002418)))
(07/02/2016,List((0.000312,0.000282)))
(17/03/2014,List((0.000822,0.000757)))
(25/10/2017,List((0.001100,0.001009)))
(07/01/2017,List((0.000228,0.000216)))
(02/05/2016,List((0.000231,0.000220)))
(20/11/2017,List((0.001428,0.001348)))
(26/06/2017,List((0.003041,0.002449)))
(09/02/2014,List((0.001291,0.001056)))
(01/09/2015,List((0.000132,0.000127)))
(22/10/2016,List((0.000226,0.000218)))
(27/05/2015,List((0.000190,0.000159)))
(12/07/2017,List((0.001938,0.001674)))
(22/12/2016,List((0.000230,0.000222)))
(23/09/2017,List((0.000974,0.000760)))
(22/03/2016,List((0.000217,0.000209)))
(24/02/2015,List((0.000143,0.000140)))
(27/03/2017,List((0.000283,0.000238)))
(16/07/2015,List((0.000189,0.000166)))
(11/05/2016,List((0.000224,0.000220)))
(06/11/2015,List((0.000148,0.000137)))
(04/06/2015,List((0.000155,0.000148)))
(29/04/2014,List((0.000503,0.000478)))
(26/09/2014,List((0.000467,0.000373)))
(20/10/2014,List((0.000244,0.000223)))
(16/11/2016,List((0.000227,0.000219)))
(28/05/2014,List((0.000422,0.000394)))
(01/06/2016,List((0.000235,0.000226)))
(15/07/2014,List((0.000259,0.000251)))
(20/06/2017,List((0.003287,0.003151)))
(09/05/2015,List((0.000094,0.000090)))
(27/06/2014,List((0.000298,0.000287)))
(24/10/2016,List((0.000222,0.000218)))
(13/11/2017,List((0.001212,0.001019)))
(28/09/2016,List((0.000233,0.000226)))
(03/06/2014,List((0.000406,0.000382)))
(08/07/2016,List((0.000281,0.000272)))
(02/07/2016,List((0.000306,0.000298)))
(05/01/2017,List((0.000257,0.000221)))
(26/09/2016,List((0.000230,0.000225)))
(31/03/2016,List((0.000235,0.000223)))
(08/02/2017,List((0.000217,0.000207)))
(30/05/2015,List((0.000181,0.000158)))
(13/12/2016,List((0.000223,0.000215)))
(11/02/2017,List((0.000215,0.000203)))
(18/01/2017,List((0.000216,0.000205)))
(29/12/2015,List((0.000155,0.000138)))
(11/06/2017,List((0.003795,0.003276)))
(18/05/2017,List((0.001647,0.001290)))
(15/01/2014,List((0.000441,0.000341)))
(06/09/2016,List((0.000242,0.000235)))
(02/03/2014,List((0.001059,0.000953)))
(01/10/2017,List((0.001152,0.001050)))
(03/07/2015,List((0.000192,0.000187)))
(26/07/2016,List((0.000246,0.000236)))
(10/04/2016,List((0.000210,0.000197)))
(17/04/2017,List((0.000480,0.000447)))
(25/03/2015,List((0.000132,0.000122)))
(15/10/2014,List((0.000286,0.000259)))
(23/10/2017,List((0.001053,0.000959)))
(25/02/2014,List((0.001082,0.000823)))
(01/05/2015,List((0.000104,0.000096)))
(11/10/2016,List((0.000235,0.000223)))
(06/12/2014,List((0.000235,0.000228)))
(01/10/2015,List((0.000124,0.000122)))
(03/11/2014,List((0.000229,0.000214)))
(04/09/2016,List((0.000239,0.000232)))
(23/06/2016,List((0.000283,0.000244)))
(17/04/2015,List((0.000109,0.000105)))
(04/08/2015,List((0.000177,0.000173)))
(20/03/2014,List((0.000774,0.000721)))
(19/01/2016,List((0.000152,0.000147)))
(09/05/2017,List((0.001531,0.001107)))
(06/06/2017,List((0.004036,0.003549)))
(28/12/2014,List((0.000186,0.000179)))
(13/07/2014,List((0.000274,0.000266)))
(13/03/2014,List((0.000929,0.000849)))
(25/11/2016,List((0.000221,0.000216)))
(29/06/2016,List((0.000301,0.000284)))
(06/02/2015,List((0.000146,0.000140)))
(09/08/2016,List((0.000241,0.000231)))
(31/10/2016,List((0.000229,0.000218)))
(11/08/2015,List((0.000164,0.000160)))
(16/05/2017,List((0.001125,0.000995)))
(01/06/2014,List((0.000431,0.000335)))
(18/10/2015,List((0.000124,0.000118)))
(16/02/2016,List((0.000300,0.000292)))
(20/08/2015,List((0.000140,0.000131)))
(05/02/2016,List((0.000309,0.000283)))
(10/06/2016,List((0.000272,0.000258)))
