(20/11/2017,List((0.001374,0.001394)))
(26/06/2017,List((0.002958,0.002750)))
(09/02/2014,List((0.001077,0.001291)))
(01/09/2015,List((0.000128,0.000127)))
(22/10/2016,List((0.000218,0.000223)))
(27/05/2015,List((0.000160,0.000184)))
(12/07/2017,List((0.001759,0.001938)))
(22/12/2016,List((0.000228,0.000225)))
(23/09/2017,List((0.000771,0.000954)))
(22/03/2016,List((0.000212,0.000217)))
(24/02/2015,List((0.000142,0.000140)))
(27/03/2017,List((0.000278,0.000254)))
(16/07/2015,List((0.000186,0.000171)))
(11/05/2016,List((0.000220,0.000224)))
(06/11/2015,List((0.000146,0.000141)))
(04/06/2015,List((0.000151,0.000152)))
(29/04/2014,List((0.000483,0.000495)))
(26/09/2014,List((0.000374,0.000451)))
(20/10/2014,List((0.000243,0.000232)))
(16/11/2016,List((0.000222,0.000221)))
(28/05/2014,List((0.000397,0.000399)))
(01/06/2016,List((0.000231,0.000234)))
(15/07/2014,List((0.000256,0.000254)))
(20/06/2017,List((0.003154,0.003218)))
(09/05/2015,List((0.000092,0.000092)))
(27/06/2014,List((0.000291,0.000294)))
(24/10/2016,List((0.000221,0.000219)))
(13/11/2017,List((0.001046,0.001211)))
(28/09/2016,List((0.000230,0.000229)))
(03/06/2014,List((0.000395,0.000386)))
(08/07/2016,List((0.000275,0.000277)))
(02/07/2016,List((0.000302,0.000306)))
(05/01/2017,List((0.000233,0.000229)))
(26/09/2016,List((0.000225,0.000229)))
(31/03/2016,List((0.000232,0.000233)))
(08/02/2017,List((0.000212,0.000211)))
(30/05/2015,List((0.000178,0.000162)))
(13/12/2016,List((0.000220,0.000216)))
(11/02/2017,List((0.000208,0.000210)))
(18/01/2017,List((0.000215,0.000208)))
(29/12/2015,List((0.000139,0.000155)))
(11/06/2017,List((0.003307,0.003601)))
(18/05/2017,List((0.001318,0.001508)))
(15/01/2014,List((0.000342,0.000413)))
(06/09/2016,List((0.000238,0.000241)))
(02/03/2014,List((0.001058,0.000953)))
(01/10/2017,List((0.001142,0.001084)))
(03/07/2015,List((0.000191,0.000191)))
(26/07/2016,List((0.000246,0.000240)))
(10/04/2016,List((0.000208,0.000204)))
